"filename", "language", "Python", "Markdown", "pip requirements", "comment", "blank", "total"
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/.agents/quickstart.md", "Markdown", 0, 15, 0, 0, 4, 19
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/AGENTS.md", "Markdown", 0, 80, 0, 0, 24, 104
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/README.md", "Markdown", 0, 61, 0, 0, 17, 78
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/bot.py", "Python", 3, 0, 0, 0, 3, 6
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/README.md", "Markdown", 0, 19, 0, 0, 8, 27
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/architecture.md", "Markdown", 0, 62, 0, 0, 25, 87
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/commands-and-ux.md", "Markdown", 0, 72, 0, 0, 27, 99
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/data-model.md", "Markdown", 0, 75, 0, 0, 32, 107
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/development-runbook.md", "Markdown", 0, 69, 0, 0, 25, 94
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/roadmap-and-known-issues.md", "Markdown", 0, 49, 0, 0, 15, 64
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/__init__.py", "Python", 0, 0, 0, 1, 1, 2
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/app.py", "Python", 60, 0, 0, 0, 18, 78
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/cards.py", "Python", 217, 0, 0, 0, 41, 258
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/commands.py", "Python", 343, 0, 0, 0, 60, 403
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/presentation.py", "Python", 7, 0, 0, 0, 6, 13
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/rarities.py", "Python", 7, 0, 0, 0, 1, 8
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/services.py", "Python", 147, 0, 0, 0, 33, 180
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/settings.py", "Python", 12, 0, 0, 0, 2, 14
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/storage.py", "Python", 382, 0, 0, 225, 95, 702
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/utils.py", "Python", 5, 0, 0, 0, 1, 6
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/views.py", "Python", 274, 0, 0, 0, 44, 318
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/requirements.txt", "pip requirements", 0, 0, 2, 0, 1, 3
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/migration_smoke.py", "Python", 76, 0, 0, 18, 24, 118
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/rarity_odds.py", "Python", 25, 0, 0, 0, 11, 36
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_services.py", "Python", 61, 0, 0, 0, 22, 83
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_storage.py", "Python", 205, 0, 0, 18, 50, 273
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_views.py", "Python", 93, 0, 0, 0, 37, 130
"Total", "-", 1917, 502, 2, 262, 627, 3310
