"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/AGENTS.md", "Markdown", 0, 11, 0, 0, 3, 14
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/README.md", "Markdown", 0, 1, 0, 0, 1, 2
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/card_image_pull_report.json", "JSON", 0, 0, 9, 0, 0, 9
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/architecture.md", "Markdown", 0, 4, 0, 0, 0, 4
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/development-runbook.md", "Markdown", 0, 9, 0, 0, 2, 11
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/roadmap-and-known-issues.md", "Markdown", 0, 17, 0, 0, 5, 22
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/app.py", "Python", 5, 0, 0, 0, 0, 5
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/commands.py", "Python", -33, 0, 0, 0, -2, -35
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/presentation.py", "Python", 61, 0, 0, 0, 11, 72
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/services.py", "Python", 28, 0, 0, 0, 10, 38
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/settings.py", "Python", 1, 0, 0, 0, 0, 1
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/pull_card_images.py", "Python", 192, 0, 0, 0, 39, 231
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_services.py", "Python", 111, 0, 0, 0, 28, 139
"Total", "-", 365, 42, 9, 0, 97, 513
